student_id,name,gender,date_of_birth,grade,email,phone_number,address,school_name,math,english,science,history,computer,total_marks,average_marks
S00001,Martin Phillips,Male,2008-03-03,3,margarethopkins@example.net,(827)554-6134x1275,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,40,91,44,44,46,265,53.0
S00002,Anthony Jennings,Male,2010-10-19,2,njenkins@example.net,001-537-683-5126,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,42,67,58,67,91,325,65.0
S00003,Kristi Mann,Female,2015-09-03,8,villanuevajames@example.org,943-503-2378,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,92,55,83,80,57,367,73.4
S00004,Joshua Wilson,Male,2018-04-08,6,turnerdavid@example.net,615.363.4462,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,69,80,82,89,81,401,80.2
S00005,Meghan Mcpherson,Female,2018-09-20,2,fodonnell@example.com,228-869-9595x0260,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,47,70,75,60,57,309,61.8
S00006,Lauren Patel,Female,2006-06-30,3,dwilkins@example.org,900-394-7010x4214,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,72,40,58,78,87,335,67.0
S00007,Jennifer Cooper,Female,2007-06-16,8,crosbyregina@example.net,(959)626-2741x5526,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,99,91,55,99,68,412,82.4
S00008,Nicole Herrera,Female,2016-11-26,12,ramirezbrittney@example.com,973-712-9673,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,55,44,66,48,56,269,53.8
S00009,Carol Murphy,Female,2013-05-17,11,nicholaswright@example.org,975.381.6517x16441,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,72,78,88,75,48,361,72.2
S00010,John Day,Male,2019-09-03,1,troyhammond@example.org,9772885206,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,41,93,82,73,80,369,73.8
S00011,Anthony Crosby,Male,2010-06-12,11,flemingalicia@example.com,940-978-7611,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,73,54,93,85,41,346,69.2
S00012,Matthew Peterson,Male,2009-10-17,7,jennifergarcia@example.net,001-536-957-0313x648,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,44,79,93,90,48,354,70.8
S00013,Frank Lowe,Male,2010-04-04,2,ashleysmith@example.org,(703)599-0584x593,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,57,55,70,75,45,302,60.4
S00014,Hannah Wagner,Female,2016-07-13,7,mirandabond@example.com,-6807,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,61,62,84,80,80,367,73.4
S00015,Dana Fuller,Female,2013-08-22,6,mjones@example.com,820.855.6802x93599,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,46,98,67,89,87,387,77.4
S00016,Amy Robinson,Female,2018-11-08,4,dillon68@example.net,+1-783-376-8842x204,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,77,78,57,84,74,370,74.0
S00017,Cassandra Richardson,Female,2017-09-07,4,michellemorales@example.net,607.279.1957x59767,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,71,69,48,69,69,326,65.2
S00018,Yvonne Benjamin,Female,2017-01-03,8,mhouston@example.org,403-265-4399,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,70,50,95,60,66,341,68.2
S00019,Ashley Nunez,Female,2015-09-07,10,shawn34@example.org,001-929-575-9787x21996,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,81,85,70,98,43,377,75.4
S00020,Christopher Meyer,Male,2014-02-05,8,gomezkrista@example.net,(223)298-2908,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,56,43,59,88,46,292,58.4
S00021,Cameron Burns,Male,2017-12-13,2,carlalopez@example.com,+1-576-839-8582x1069,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,56,89,71,85,62,363,72.6
S00022,Alison Peck,Female,2015-10-10,8,hudsonmark@example.com,245-653-1959,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,77,73,40,61,84,335,67.0
S00023,Kyle Park,Male,2016-05-16,5,wholt@example.org,6969745998,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,74,66,96,85,57,378,75.6
S00024,Douglas Ortega,Male,2019-03-12,11,ohernandez@example.net,(972)337-1144x2493,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,99,48,94,95,57,393,78.6
S00025,Michele Ingram,Female,2012-10-18,1,chanamber@example.net,001-277-290-4010x2754,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,96,40,53,40,51,280,56.0
S00026,Tyler Schwartz,Male,2017-09-05,9,njohnson@example.net,001-566-483-7065x062,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,69,62,74,74,69,348,69.6
S00027,Kelly James,Male,2020-01-22,5,susan18@example.net,381.369.3929x27173,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,42,73,56,79,93,343,68.6
S00028,Brandi Davis,Female,2016-10-04,5,kroberts@example.org,+1-738-805-2572x9821,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,75,65,91,71,47,349,69.8
S00029,Tiffany Mccullough,Female,2007-06-26,2,jordan28@example.net,726.504.1364x78278,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,92,79,41,90,49,351,70.2
S00030,Amanda Jenkins,Female,2013-05-17,10,nallen@example.com,+1-579-282-9661x30258,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,42,52,42,63,91,290,58.0
S00031,Anthony Brooks,Male,2015-08-13,5,hernandezstephanie@example.com,925.631.2491x3750,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,73,46,80,55,47,301,60.2
S00032,Michael Martinez,Male,2016-07-08,4,natasha72@example.com,305.831.9792,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,64,99,77,62,89,391,78.2
S00033,Jennifer Green,Female,2016-12-31,3,adam72@example.org,+1-476-936-8874x2411,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,81,74,57,87,49,348,69.6
S00034,Ann Beck,Female,2009-04-12,3,juanzavala@example.org,(823)659-4458,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,81,81,47,68,78,355,71.0
S00035,Steven Brown,Male,2009-04-22,5,qreyes@example.org,001-325-441-3847,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,77,67,74,54,93,365,73.0
S00036,Alison Woodard,Female,2019-09-21,2,jcharles@example.com,224.852.6098x7351,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,50,87,65,76,41,319,63.8
S00037,Paul Cooper,Male,2013-11-10,11,deanna49@example.net,867-300-0017,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,96,42,57,90,83,368,73.6
S00038,Terri Shelton,Female,2015-01-19,12,kristinreeves@example.net,001-517-316-0849x495,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,61,64,85,62,63,335,67.0
S00039,Scott Richard,Male,2009-04-12,5,charles58@example.org,(292)486-1878x4867,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,55,94,93,40,57,339,67.8
S00040,George Scott,Male,2006-08-31,11,jacksonmargaret@example.net,001-934-850-8823x64223,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,100,43,63,74,77,357,71.4
S00041,Michelle Osborne,Female,2013-06-02,10,zmoore@example.org,472-820-1392x208,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,40,55,67,84,71,317,63.4
S00042,Jennifer Richards,Female,2012-10-11,1,rburgess@example.org,261-631-7073,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,51,41,54,92,40,278,55.6
S00043,Taylor Nunez,Female,2018-09-22,2,sean71@example.org,(779)832-2146x663,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,68,53,73,65,55,314,62.8
S00044,Victoria Acosta,Female,2006-06-29,11,jenny20@example.com,(957)235-0924x7193,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,80,94,94,94,41,403,80.6
S00045,Joseph Brown,Male,2014-07-09,7,jerry81@example.net,(720)304-5320x54851,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,40,76,93,93,69,371,74.2
S00046,Alexis Allen,Female,2007-11-17,3,shepherdian@example.com,001-975-887-9835,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,67,46,57,71,76,317,63.4
S00047,Bonnie Brady,Female,2014-10-12,6,lisa79@example.org,405.342.9778x219,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,89,82,99,62,87,419,83.8
S00048,Angelica Murphy,Female,2009-11-02,9,matthewmcguire@example.com,940.814.5690x7708,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,66,73,46,74,83,342,68.4
S00049,Tonya Knight,Female,2017-07-31,4,wmason@example.org,001-438-937-4894x11312,"078 Karla Manors, East Jessica, MH 18724",Gonzales-Rosales School,44,85,83,83,69,364,72.8
